90.015	-0.08	-0.19	-0.011	-0.024
90.015025	-0.13	-0.21	-0.013	-0.031
90.01505	-0.16	-0.23	-0.016	-0.033
90.015075	-0.18	-0.25	-0.017	-0.036
90.0151	-0.20	-0.26	-0.020	-0.037
90.015125	-0.20	-0.27	-0.021	-0.037
90.01515	-0.20	-0.28	-0.019	-0.034
90.015175	-0.19	-0.28	-0.020	-0.031
90.0152	-0.20	-0.28	-0.020	-0.028
90.015225	-0.19	-0.29	-0.020	-0.027
90.01525	-0.18	-0.29	-0.017	-0.025
90.015275	-0.18	-0.28	-0.014	-0.024
90.0153	-0.18	-0.27	-0.013	-0.022
90.015325	-0.17	-0.26	-0.010	-0.022
90.01535	-0.16	-0.24	-0.007	-0.021
90.015375	-0.14	-0.22	-0.003	-0.020
90.0154	-0.13	-0.19	0.001	-0.019
90.015425	-0.11	-0.17	0.004	-0.018
90.01545	-0.09	-0.14	0.008	-0.017
90.015475	-0.08	-0.12	0.011	-0.016
90.0155	-0.05	-0.10	0.014	-0.015
90.015525	-0.03	-0.08	0.019	-0.013
90.01555	-0.01	-0.06	0.022	-0.013
90.015575	0.00	-0.05	0.023	-0.012
90.0156	0.02	-0.03	0.026	-0.011
90.015625	0.03	-0.02	0.029	-0.012
90.01565	0.06	-0.00	0.032	-0.013
90.015675	0.07	0.02	0.035	-0.012
90.0157	0.07	0.03	0.037	-0.013
90.015725	0.06	0.04	0.039	-0.013
90.01575	0.06	0.04	0.039	-0.012
90.015775	0.06	0.04	0.041	-0.012
90.0158	0.05	0.04	0.041	-0.011
90.015825	0.04	0.03	0.042	-0.011
90.01585	0.01	0.03	0.042	-0.010
90.015875	0.00	0.01	0.043	-0.011
90.0159	-0.02	-0.00	0.044	-0.013
90.015925	-0.04	-0.02	0.045	-0.013
90.01595	-0.05	-0.03	0.046	-0.014
90.015975	-0.07	-0.05	0.047	-0.014
90.016	-0.08	-0.06	0.047	-0.014
90.016025	-0.08	-0.08	0.047	-0.014
90.01605	-0.08	-0.09	0.048	-0.013
90.016075	-0.09	-0.11	0.050	-0.013
